,title,title_split,temp,temp_level,temp_title,temp_score
88,cto,chief technology officer,"(c-level, nan, 65)",c-level,,65
89,database administrator,database administrator,"(nan, database, 30)",,database,30
90,data integration tech lead,data integration tech lead,"(manager, data, 63)",manager,data,63
91,head of planning and revenue management,head of planning and revenue management,"(department head, nan, 61)",department head,,61
92,technical analyst,technical analyst,"(nan, nan, 50)",,,50
93,director of information management,director of information management,"(director, information management, 90)",director,information management,90
94,product portfolio & data strategy manager,product portfolio data strategy manager,"(manager, data, 63)",manager,data,63
95,uk head of data & processing,uk head of data processing,"(department head, data, 66)",department head,data,66
96,senior mi & data consultant,senior mi data consultant,"(individual contributer, data, 58)",individual contributer,data,58
97,vp solution architect of technology,vp solution architect of technology,"(vp, nan, 63)",vp,,63
98,master data manager,master data manager,"(manager, data manager, 80)",manager,data manager,80
99,marketing technology director,marketing technology director,"(director, nan, 60)",director,,60
100,pricing data analyst,pricing data analyst,"(nan, data, 55)",,data,55
101,head of operations management,head of operations management,"(department head, operations, 66)",department head,operations,66
102,data management lead,data management lead,"(manager, data management, 80)",manager,data management,80
103,"senior manager, systems",senior manager systems,"(manager, nan, 58)",manager,,58
104,data manager,data manager,"(individual contributer, data manager, 80)",individual contributer,data manager,80
105,business intelligence analyst,business intelligence analyst,"(individual contributer, business intelligence, 70)",individual contributer,business intelligence,70
106,business chief information officerr,business chief information officerr,"(c-level, chief information officer, 85)",c-level,chief information officer,85
107,data & mi manager,data mi manager,"(manager, data, 63)",manager,data,63
108,head of global support & market data specialist,head of global support market data specialist,"(department head, data, 66)",department head,data,66
109,principal data engineer,principal data engineer,"(individual contributer, data engineer, 65)",individual contributer,data engineer,65
110,chief data officer,chief data officer,"(individual contributer, chief data officer, 100)",individual contributer,chief data officer,100
111,gis & data officer,gis data officer,"(individual contributer, data officer, 80)",individual contributer,data officer,80
112,head of business intelligence,head of business intelligence,"(department head, business intelligence, 85)",department head,business intelligence,85
113,head of information management,head of information management,"(department head, information management, 90)",department head,information management,90
114,crm executive,crm executive,"(c-level, nan, 65)",c-level,,65
115,"head of digital, data and tools ",head of digital data and tools,"(department head, data, 66)",department head,data,66
116,lead data architect,lead data architect,"(manager, data architect, 75)",manager,data architect,75
117,head of technology,head of technology,"(department head, nan, 61)",department head,,61
118,solution architect (data and application),solution architect data and application,"(nan, data, 55)",,data,55
119,manager - data warehouse & advanced,manager data warehouse advanced,"(manager, data warehouse, 75)",manager,data warehouse,75
120,head of data ,head of data,"(department head, data, 66)",department head,data,66
