,error,lead_id
78,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLMGFEA4
79,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLMJYEA4
80,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLMKWEA4
81,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLTMTEA4
82,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLUOzEAO
83,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLVlLEAW
84,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLWJcEAO
85,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLjIcEAK
86,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLkqeEAC
87,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLlL7EAK
88,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLlLEEA0
89,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLlLFEA0
90,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLlLGEA0
91,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLlLHEA0
92,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLlLKEA0
93,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLHynEAG
94,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLHyoEAG
95,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLHypEAG
96,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLHyqEAG
97,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLHywEAG
98,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLHz7EAG
99,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLHzDEAW
100,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLQ8AEAW
101,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLQ8BEAW
102,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLYMZEA4
103,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLZ5NEAW
104,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLZMTEA4
105,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLHzGEAW
106,CANNOT_UPDATE_CONVERTED_LEAD,00Q2000000qLHzHEAW
